id;texto
1;/ 47 OBJETO DA CONTRATAÇÃO,29 JUSTIFICATIVA DA CONTRATAÇÃO,29 DETALHAMENTO DA CONTRATAÇÃO,29 VOLUMETRIA E ESTIMATIVA DE PREÇOS,30 INFORMAÇÕES ACERCA DO CONTRATO VIGENTE, SE HOUVER,30 DADOS ORÇAMENTÁRIOS,30 GARANTIA CONTRATUAL,31 SELEÇÃO DO FORNECEDOR –CONTRATAÇÃO DIRETA,31 SELEÇÃO DO FORNECEDOR – LICITAÇÃO,32 4.3.1.2 4.3.1.3 4.3.1.4 4.3.1.5 4.3.1.6 4.3.1.7 4.3.1.8 4.3.1.9 4.3.1.10
4.3.1.10.6;QUALIFICAÇÃO TÉCNICA,32
4.3.1.10.7;QUALIFICAÇÃO ECONÔMICO-FINANCEIRA,32 4.3.1.11 4.3.1.12 4.3.1.13 4.3.1.13.5 4.3.1.13.6 4.3.1.13.7 4.3.1.13.8 4.3.1.13.9
4.3.1.13.10;INFORMAÇÕES ESPECÍFICAS - SERVIÇOS DE TRANSPORTE DE PESSOAS E PEQUENOS DEFINIÇÃO DE MULTAS, DEMAIS SANÇÕES E RESCISÃO CONTRATUAL ,33 PARECERES EXIGIDOS,34 OUTRAS INFORMAÇÕES,34 INFORMAÇÕES ESPECÍFICAS - BENS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO,35 INFORMAÇÕES ESPECÍFICAS – EVENTOS DE T&D,36 INFORMAÇÕES ESPECÍFICAS – CONTRATAÇÃO DE REMANESCENTE,37 INFORMAÇÕES ESPECÍFICAS - SERVIÇOS DE CONSULTORIA E AUDITORIA,37 INFORMAÇÕES ESPECÍFICAS - OBRAS E SERVIÇOS DE ENGENHARIA,37 VOLUMES,38
4.3.1.13.11;INFORMAÇÕES ESPECÍFICAS - CRITÉRIOS DE JULGAMENTO COM APRESENTAÇÃO DE PROPOSTA TÉCNICA,38
4.3.1.13.12;INFORMAÇÕES ESPECÍFICAS – PERMISSIONÁRIO LOTÉRICO,39
4.3.1.13.13;INFORMAÇÕES ESPECÍFICAS – ATUALIZAÇÃO CONVENÇÃO COLETIVA DE TRABALHO,39
4.3.1.13.14;INFORMAÇÕES ESPECÍFICAS – CONTRATOS REGIDOS POR LEI ESTRANGEIRA E FORO NO 4.3.1.14 4.3.1.15 4.3.2 4.4 4.4.1 4.4.2 4.5 4.5.1 4.5.2 4.6 4.6.1 4.6.2 4.6.3 4.6.4 4.6.5 4.6.6 5 EXTERIOR,20 PREENCHIMENTO DO FORMULÁRIO NO SICLG,39 APRESENTAÇÃO DE PROPOSIÇÃO,39 GECOT/CECOT,39 FORMALIZAÇÃO DE CONTRATO,40 GECOT/CECOT,40 GESTOR,42 CONTROLE DA ATA DE REGISTRO DE PREÇOS,42 GESTOR,42 CECOT,42 CONSULTAS DE IMPEDIMENTOS PARA LICITAR E CONTRATAR E DA REGULARIDADE DO FORNECEDOR,43 IMPEDIMENTOS PARA CONTRATAÇÃO,43 REGULARIDADE FISCAL E TRABALHISTA,45 TRANSAÇÃO COM PARTES RELACIONADAS,46 REGULARIDADE CADASTRAL,46 ATENDIMENTO À CIRCULAR BACEN 3978/2020 – CONHEÇA SEU FORNECEDOR,46 RISCOS SOCIAIS, AMBIENTAIS, CLIMÁTICOS E RISCO DE TERCEIROS NO CONTRATO ,47 ANEXOS,47
2;/ 47 PREFÁCIO TÍTULO CONTRATAÇÕES DE BENS E SERVIÇOS UNIDADE RESPONSÁVEL GECOT – GN CONTRATACOES ADMINISTRATIVAS PÚBLICO ALVO Todas as Unidades da CAIXA ALTERAÇÕES EM RELAÇÃO À VERSÃO ANTERIOR Inclusões: ▪ Item  3.6.2  –  Inclusão  de  item  sobre  disposições  em  relação  a  contratações  diretas  que  prevejam  adoção  de  lei  e foro estrangeiros. Alterações ▪ Item  3.3.6.8  e  3.3.6.8.1  –  inclusão  de  itens  referente  à  vedação  de  pagamento  antecipado  e  previsões  para  caso excepcionais. ▪ Item 3.5.1.1.2 – Inclusão de previsão de prazo mínimo adicional para contratações diretas que  prevejam adoção de lei e foro estrangeiros. ▪ Item 4.3.1.4.9 – Inclusão de item exigindo justificativas quando da adoção de previsão de pagamento antecipado. ▪ Item  4.3.1.10.6.6  –  Alteração  da  redação  para  esclarecer  que  as  exigências  de  qualificação  técnica  devem  ser mensuráveis, sendo vedada exigência genéricas ou indeterminadas. ▪ Item  4.3.1.10.6.6.1  e  4.3.1.10.6.6.2  –  Inclusão  de  orientações  sobre  condições  de  exigência  de  comprovação  de prazos de execução, experiência ou período de prestação dos serviços. Anexos: ▪ Não houve alterações. RELAÇÃO COM OUTROS NORMATIVOS AD006 PREVENÇÃO À LAVAGEM DE DINHEIRO, AO FINANCIAMENTO DO TERRORISMO E AO FINANCIAMENTO DA PROLIFERAÇÃO DE ARMAS DE DESTRUIÇÃO EM MASSA AD014 TRANSPORTE DE PESSOAS A SERVIÇO DA CAIXA, BENS, DOCUMENTOS AD028 CONTRATAÇÕES DIRETAS AD035 SEGURANÇA - VIGILÂNCIA OSTENSIVA AD069 LICITAÇÕES NA CAIXA AD089 INFRAESTRUTURA - COMODATO E CESSÃO DE IMÓVEIS OU ÁREA DE IMÓVEIS DE USO DA CAIXA AD090 SUPRIMENTOS - LOGÍSTICA DE MATERIAL PERMANENTE AD103 PAGAMENTOS A FORNECEDORES AD143 SUPRIMENTOS - AQUISIÇÃO E MANUTENÇÃO DOS EQUIPAMENTOS DE USO E DE PEQUENA MONTA AD200 LOCAÇÃO, CESSÃO OU COMODATO DE IMÓVEL OU ÁREA DE IMÓVEL PARA USO DA CAIXA AD233 CONTRATAÇÕES CONCORRENCIAIS AD242  GESTÃO  DE  CONTRATOS  ADMINISTRATIVOS,  CONCORRENCIAIS,  SOLUÇÕES PATROCÍNIO E ATAS DE REGISTRO DE PREÇOS AD244 PRESTAÇÃO DE SERVIÇOS NA CAIXA - ANÁLISE DA SOLICITAÇÃO DE CONTRATAÇÃO AD255 PRESTAÇÃO DOS SERVIÇOS DE APOIO ADMINISTRATIVO AD264  CONTRATAÇÃO  E  CONFORMIDADE  NA  ANÁLISE  DE  PRESTAÇÃO  DE  CONTAS  E  DESEMBOLSO  DE PATROCÍNIOS AD288 Licitação e Contratação de Soluções Inovadoras AE008 PUBLICIDADE LEGAL AE013 MARKETING - PATROCÍNIO INOVADORAS,
3;/ 47 AE079 APURAÇÃO E JULGAMENTO DE RESPONSABILIDADE DISCIPLINAR E CIVIL AE124 REQUISITOS SOCIAIS, AMBIENTAIS E CLIMÁTICOS PARA CONCESSÃO DE CRÉDITO AE133 ATENDIMENTO AOS ÓRGÃOS REGULADORES, DE SUPERVISÃO, DE CONTROLE E DE FISCALIZAÇÃO E À AUDITORIA INDEPENDENTE AE137 PROCESSO ADMINISTRATIVO DE RESPONSABILIZAÇÃO DE PESSOA JURÍDICA  - PAR AL080  REGIME  DE  ALÇADAS  -  COMPRAR  E  CONTRATAR  BENS  E  SERVIÇOS,  FORMALIZAR  PARCERIA VINCULADA À OPORTUNIDADE DE NEGÓCIOS E PATROCÍNIO DE INOVAÇÃO TECNOLÓGICA CO038 CONTA DEPÓSITO DE CAUÇÃO CR110 GESTÃO ORÇAMENTÁRIA DE DISPÊNDIOS CR111 CONTROLE E ACOMPANHAMENTO DA EXECUÇÃO ORÇAMENTÁRIA DE DISPÊNDIOS CR117 EXECUÇÃO ORÇAMENTÁRIA DE DISPÊNDIOS CR464 TRANSAÇÕES COM PARTES RELACIONADAS - REGRAS GERAIS CR512 DUE DILIGENCE DE INTEGRIDADE CR553 GERENCIAMENTO DE RISCOS SOCIAIS, AMBIENTAIS E CLIMÁTICOS NA CAIXA CR555 GESTÃO DO RISCO DE TERCEIROS OR016 TRATAMENTO DA INFORMAÇÃO OR048 AFASTAMENTO DO PAÍS OR134 GOVERNANÇA CORPORATIVA CAIXA OR137 GESTÃO DA POLÍTICA DE RESPONSABILIDADE SOCIAL, AMBIENTAL E CLIMÁTICA OR142 PROGRAMA DE INTEGRIDADE DA CAIXA OR210 CONTRATAÇÕES SUSTENTÁVEIS E RELACIONAMENTO COM FORNECEDORES PO001 POLÍTICA INSTITUCIONAL CAIXA PO006  POLÍTICA  DE  PREVENÇÃO  À  LAVAGEM  DE  DINHEIRO,  AO  FINANCIAMENTO  DO  TERRORISMO  E  AO FINANCIAMENTO DA PROLIFERAÇÃO DE ARMAS DE DESTRUIÇÃO EM MASSA PO007 POLÍTICA DE SEGURANÇA E INFORMAÇÃO PO048 POLÍTICA DE TRANSAÇÕES COM PARTES RELACIONADAS PO073 POLÍTICA DE COMBATE E PREVENÇÃO AO ASSÉDIO SEXUAL E MORAL E À DISCRIMINAÇÃO RH213 MODELO DE ATUAÇÃO DA UNIVERSIDADE CAIXA TE165 PLANEJAMENTO DA CONTRATAÇÃO DE BENS E SERVIÇOS DE TI TE227 DIRETRIZES PARA UTILIZAÇÃO DE NUVEM PÚBLICA PRODUTOS RELACIONADOS Não se aplica PROCESSOS RELACIONADOS PR.01602 - 4.10.2.4 Contratar bens e serviços, de forma direta, por dispensa de licitação por valor PR.01603 - 4.10.2.5 Contratar bens e serviços, de forma direta, por dispensa ou inexigibilidade de licitação PR.02139 - 4.10.2.16 Contratar locação de imóvel para uso da CAIXA PR.02145  - 4.10.2.17  Contratar bens e/ou serviços para recuperação de imóveis do PAR e do  PMCMV construídos com recursos do FAR PR.02146 - 4.10.2.18 Contratar bens e serviços via licitação CAIXA REGULAMENTAÇÃO UTILIZADA Decreto-lei nº 4.657, de 4/09/1942 Decreto nº 7.203, de 04/06/2010. Decreto n° 8.538, de 06/10/2015. Decreto nº 8.945, de 27/12/2016. Decreto nº 9.507, de 21/09/2018. Decreto nº 11.462, de 31/03/2023
